date_time,home_team,away_team,odd_home,odd_away,score_home,score_away,overtime
2015-04-09T03:00:00.000Z,Denver Nuggets,Los Angeles Lakers,1.18,5.19,119,101,false
2015-04-09T03:00:00.000Z,Utah Jazz,Sacramento Kings,1.12,6.88,103,91,false
2015-04-09T02:30:00.000Z,San Antonio Spurs,Houston Rockets,1.37,3.22,110,98,false
2015-04-09T02:00:00.000Z,Memphis Grizzlies,New Orleans Pelicans,1.51,2.64,110,74,false
2015-04-09T02:00:00.000Z,Milwaukee Bucks,Cleveland Cavaliers,3.25,1.36,99,104,false
2015-04-10T01:30:00.000Z,Brooklyn Nets,Atlanta Hawks,1.54,2.57,111,114,false
2015-04-10T01:30:00.000Z,New York Knicks,Indiana Pacers,6.94,1.12,86,102,false
2015-04-10T01:00:00.000Z,Charlotte Hornets,Toronto Raptors,2.34,1.64,74,92,false
2015-04-10T01:00:00.000Z,Philadelphia 76ers,Washington Wizards,2.66,1.5,90,119,false
2015-04-28T01:00:00.000Z,Brooklyn Nets,Atlanta Hawks,179,-213,120,115,true
2015-04-27T03:00:00.000Z,Dallas Mavericks,Houston Rockets,125,-145,121,109,false
2015-04-27T00:30:00.000Z,Washington Wizards,Toronto Raptors,-256,212,125,94,false
2015-04-26T21:30:00.000Z,San Antonio Spurs,Los Angeles Clippers,-263,218,105,114,false
2015-04-26T19:00:00.000Z,Boston Celtics,Cleveland Cavaliers,241,-286,93,101,false
2015-04-26T04:30:00.000Z,Portland Trail Blazers,Memphis Grizzlies,-159,137,109,115,false
2015-04-26T02:00:00.000Z,New Orleans Pelicans,Golden State Warriors,224,-270,98,109,false
2015-04-25T23:30:00.000Z,Milwaukee Bucks,Chicago Bulls,147,-169,92,90,false
2015-04-25T21:00:00.000Z,Brooklyn Nets,Atlanta Hawks,135,-156,91,83,false
2015-04-25T03:30:00.000Z,San Antonio Spurs,Los Angeles Clippers,-200,169,100,73,false
2015-04-25T02:00:00.000Z,Washington Wizards,Toronto Raptors,-192,164,106,99,false
2015-04-26T01:00:00.000Z,Dallas Mavericks,Houston Rockets,-108,-108,128,130,false
2015-04-24T03:30:00.000Z,New Orleans Pelicans,Golden State Warriors,189,-222,119,123,true
2015-04-24T02:00:00.000Z,Milwaukee Bucks,Chicago Bulls,123,-143,106,113,true
2015-04-25T01:00:00.000Z,Boston Celtics,Cleveland Cavaliers,185,-217,95,103,false
2015-04-23T04:30:00.000Z,Los Angeles Clippers,San Antonio Spurs,-127,110,107,111,true
2015-04-23T02:00:00.000Z,Memphis Grizzlies,Portland Trail Blazers,-256,216,97,82,false
2015-04-24T01:00:00.000Z,Atlanta Hawks,Brooklyn Nets,-500,387,96,91,false
2015-04-22T03:30:00.000Z,Houston Rockets,Dallas Mavericks,-270,225,111,99,false
2015-04-22T02:00:00.000Z,Toronto Raptors,Washington Wizards,-213,181,106,117,false
2015-04-23T01:00:00.000Z,Cleveland Cavaliers,Boston Celtics,-769,553,99,91,false
2015-04-21T04:30:00.000Z,Golden State Warriors,New Orleans Pelicans,-1250,847,97,87,false
2015-04-21T02:00:00.000Z,Chicago Bulls,Milwaukee Bucks,-370,301,91,82,false
2015-04-20T04:30:00.000Z,Los Angeles Clippers,San Antonio Spurs,-125,106,107,92,false
2015-04-20T02:00:00.000Z,Memphis Grizzlies,Portland Trail Blazers,-233,190,100,86,false
